COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,2021,55623.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,2022,59338.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,4Q2023,13361.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,DEC2022,4578.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,DEC2023,4055.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,YTD2022,59338.0
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,YTD2023,55450.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,2021,156262.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,2022,162973.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,4Q2023,40158.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,DEC2022,13831.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,DEC2023,13849.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,YTD2022,162973.0
AUSTRALI,BALANCE,NATGASCM,INDPROD,YTD2023,160698.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,2021,6069.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,2022,2865.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,DEC2022,105.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,YTD2022,2865.0
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,YTD2023,634.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,2021,106708.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,2022,106500.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,4Q2023,26797.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,DEC2022,9358.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,DEC2023,9794.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,YTD2022,106500.0
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,YTD2023,105882.0
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,2021,9343.52
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,2022,8149.663
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,4Q2023,2174.038
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,DEC2022,965.238
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,DEC2023,915.552
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,YTD2022,8149.663
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,YTD2023,6962.8
AUSTRIA,BALANCE,NATGASCM,INDPROD,2021,708.413
AUSTRIA,BALANCE,NATGASCM,INDPROD,2022,646.239
AUSTRIA,BALANCE,NATGASCM,INDPROD,4Q2023,144.274
AUSTRIA,BALANCE,NATGASCM,INDPROD,DEC2022,46.074
AUSTRIA,BALANCE,NATGASCM,INDPROD,DEC2023,49.771
AUSTRIA,BALANCE,NATGASCM,INDPROD,YTD2022,646.239
AUSTRIA,BALANCE,NATGASCM,INDPROD,YTD2023,575.223
AUSTRIA,BALANCE,NATGASCM,STCHANAT,2021,-3891.27
AUSTRIA,BALANCE,NATGASCM,STCHANAT,2022,4644.846
AUSTRIA,BALANCE,NATGASCM,STCHANAT,4Q2023,-146.814
AUSTRIA,BALANCE,NATGASCM,STCHANAT,DEC2022,-594.803
AUSTRIA,BALANCE,NATGASCM,STCHANAT,DEC2023,-355.508
AUSTRIA,BALANCE,NATGASCM,STCHANAT,YTD2022,4644.846
AUSTRIA,BALANCE,NATGASCM,STCHANAT,YTD2023,677.463
AUSTRIA,BALANCE,NATGASCM,TOTENTSB,2021,41461.888
AUSTRIA,BALANCE,NATGASCM,TOTENTSB,2022,31235.448
AUSTRIA,BALANCE,NATGASCM,TOTENTSB,4Q2023,3199.647
AUSTRIA,BALANCE,NATGASCM,TOTENTSB,DEC2022,1541.55
AUSTRIA,BALANCE,NATGASCM,TOTENTSB,DEC2023,1117.727
AUSTRIA,BALANCE,NATGASCM,TOTENTSB,YTD2022,31235.448
AUSTRIA,BALANCE,NATGASCM,TOTENTSB,YTD2023,15399.44
AUSTRIA,BALANCE,NATGASCM,TOTEXTSB,2021,36707.595
AUSTRIA,BALANCE,NATGASCM,TOTEXTSB,2022,19106.567
AUSTRIA,BALANCE,NATGASCM,TOTEXTSB,4Q2023,1319.947
AUSTRIA,BALANCE,NATGASCM,TOTEXTSB,DEC2022,1219.497
AUSTRIA,BALANCE,NATGASCM,TOTEXTSB,DEC2023,608.401
AUSTRIA,BALANCE,NATGASCM,TOTEXTSB,YTD2022,19106.567
AUSTRIA,BALANCE,NATGASCM,TOTEXTSB,YTD2023,8280.799
BELGIUM,BALANCE,NATGASCM,GDINCTRO,2021,18343.4
BELGIUM,BALANCE,NATGASCM,GDINCTRO,2022,15737.3
BELGIUM,BALANCE,NATGASCM,GDINCTRO,4Q2023,4133.1
BELGIUM,BALANCE,NATGASCM,GDINCTRO,DEC2022,1868.2
BELGIUM,BALANCE,NATGASCM,GDINCTRO,DEC2023,1644.8
BELGIUM,BALANCE,NATGASCM,GDINCTRO,YTD2022,15737.3
BELGIUM,BALANCE,NATGASCM,GDINCTRO,YTD2023,14779.1
BELGIUM,BALANCE,NATGASCM,INDPROD,2021,13.2
BELGIUM,BALANCE,NATGASCM,INDPROD,2022,27.3
BELGIUM,BALANCE,NATGASCM,INDPROD,4Q2023,6.5
BELGIUM,BALANCE,NATGASCM,INDPROD,DEC2022,2.5
BELGIUM,BALANCE,NATGASCM,INDPROD,DEC2023,2.3
BELGIUM,BALANCE,NATGASCM,INDPROD,YTD2022,27.3
BELGIUM,BALANCE,NATGASCM,INDPROD,YTD2023,25.5
BELGIUM,BALANCE,NATGASCM,STCHANAT,2021,-13.9
BELGIUM,BALANCE,NATGASCM,STCHANAT,2022,135.6
BELGIUM,BALANCE,NATGASCM,STCHANAT,4Q2023,-107.6
BELGIUM,BALANCE,NATGASCM,STCHANAT,DEC2022,-128.9
BELGIUM,BALANCE,NATGASCM,STCHANAT,DEC2023,-86.0
BELGIUM,BALANCE,NATGASCM,STCHANAT,YTD2022,135.6
BELGIUM,BALANCE,NATGASCM,STCHANAT,YTD2023,86.6
BELGIUM,BALANCE,NATGASCM,TOTENTSB,2021,41005.2
BELGIUM,BALANCE,NATGASCM,TOTENTSB,2022,61082.7
BELGIUM,BALANCE,NATGASCM,TOTENTSB,4Q2023,12792.7
BELGIUM,BALANCE,NATGASCM,TOTENTSB,DEC2022,5577.8
BELGIUM,BALANCE,NATGASCM,TOTENTSB,DEC2023,4566.0
BELGIUM,BALANCE,NATGASCM,TOTENTSB,YTD2022,61082.7
